

[2019-12-27 23:32:53] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-27 23:38:06] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-28 04:25:54] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-28 20:30:06] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-28 23:40:36] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-29 01:41:38] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-29 03:24:18] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-29 03:25:26] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-29 03:25:32] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-29 03:25:38] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-29 03:25:43] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-29 03:26:15] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-29 03:29:08] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-29 03:29:37] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-29 03:30:09] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-29 04:11:05] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-29 04:32:36] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-29 04:32:41] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
